Model,Temperature,pass@1,pass@2,pass@4,pass@8,pass@16,pass@32,pass@64,maj@1
baseline,0.6,3.96,6.90,10.97,15.65,20.46,25.79,33.33,6.67
baseline,1.0,2.76,5.09,8.78,13.64,18.55,22.47,26.67,0.00
baseline,1.2,0.94,1.84,3.52,6.49,11.14,17.10,23.33,0.00
instruct,0.6,9.58,15.53,22.44,28.86,34.26,39.61,46.67,20.00
instruct,1.0,9.06,14.40,20.33,26.17,31.96,38.05,46.67,20.00
instruct,1.2,7.97,12.89,18.45,23.63,28.35,32.94,36.67,16.67
